date,channel,campaign,spend,clicks,leads,conversions,revenue
2026-01-05,Google Ads,Search CRM,2800,1240,182,26,15400
2026-01-12,Meta Ads,Retargeting Oferta,1900,1680,121,14,8200
2026-02-03,Email,Fluxo Reengajamento,650,920,148,31,12600
2026-02-18,Instagram,Reels Produto,1100,1340,87,10,5400
2026-03-02,Google Ads,Search Alta Intencao,3200,1420,206,35,18900
2026-03-20,Organico,Conteudo SEO,480,410,76,18,9700
2026-04-04,Meta Ads,Campanha Lead Magnet,2100,1760,132,16,9100
2026-04-16,Email,Nurturing Trial,720,980,164,38,15100
2026-05-08,Instagram,Creators UGC,1450,1510,104,12,6900
2026-05-21,Google Ads,Brand Protection,2600,1180,174,29,16800
2026-06-06,Email,Upsell Base Ativa,810,1020,171,44,19300
2026-06-24,Meta Ads,Oferta Final de Mes,2300,1880,138,17,9800
