date,channel,campaign,spend,clicks,leads,conversions,revenue
2026-01-09,Google Ads,Demo ERP Financeiro,3400,980,94,11,22400
2026-01-28,LinkedIn Ads,ABM CFO,2600,540,42,7,15300
2026-02-10,Email,Nurturing MQL,780,620,71,13,19800
2026-02-26,Google Ads,Demo Automacao Fiscal,3100,910,88,10,20500
2026-03-12,LinkedIn Ads,Executivos Operacoes,2950,560,46,8,17600
2026-03-27,Email,Convite Webinar,690,590,64,12,18200
2026-04-11,Google Ads,Pesquisa ERP Industrial,3600,1040,102,14,24900
2026-04-23,LinkedIn Ads,Case Cliente Enterprise,2800,510,39,6,14800
2026-05-07,Email,Sequencia SQL,830,640,74,15,22400
2026-05-19,Google Ads,Comparativo Sistemas,3250,960,97,13,23100
2026-06-03,LinkedIn Ads,Retargeting Conta Alvo,2500,530,44,9,19400
2026-06-22,Email,Oferta Diagnostico,760,670,79,16,23800
